name,dex_number,name_fr
"Iron Thorns",995,Épine-de-Fer
Frigibax,996,Frigodo
Arctibax,997,Cryodo
Baxcalibur,998,Glaivodo
Gimmighoul,999,Mordudor
Gholdengo,1000,Gromago
Wo-Chien,1001,Chongjian
Chien-Pao,1002,Baojian
Ting-Lu,1003,Dinglu
Chi-Yu,1004,Yuyu
"Roaring Moon",1005,Rugit-Lune
"Iron Valiant",1006,Garde-de-Fer
Koraidon,1007,Koraidon
Miraidon,1008,Miraidon
"Walking Wake",1009,Serpente-Eau
"Iron Leaves",1010,Vert-de-Fer
Dipplin,1011,Pomdramour
Poltchageist,1012,Poltchageist
Sinistcha,1013,Théffroyable
Okidogi,1014,Félicanis
Munkidori,1015,Fortusimia
Fezandipiti,1016,Favianos
Ogerpon,1017,Ogerpon
Archaludon,1018,Pondralugon
Hydrapple,1019,Pomdorochi
"Gouging Fire",1020,Feu-Perçant
"Raging Bolt",1021,Ire-Foudre
"Iron Boulder",1022,Roc-de-Fer
"Iron Crown",1023,Chef-de-Fer
Terapagos,1024,Terapagos
Pecharunt,1025,Pêchaminus
