page,name_fr,name_en,series_fr
"Catégorie:Noir & Blanc Explorateurs Obscurs","Catégorie:Noir & Blanc Explorateurs Obscurs",,
"Catégorie:Noir & Blanc Explosion Plasma","Catégorie:Noir & Blanc Explosion Plasma",,
"Catégorie:Noir & Blanc Frontières Franchies","Catégorie:Noir & Blanc Frontières Franchies",,
"Catégorie:Noir & Blanc Glaciation Plasma","Catégorie:Noir & Blanc Glaciation Plasma",,
"Catégorie:Noir & Blanc Kit du Dresseur","Catégorie:Noir & Blanc Kit du Dresseur",,
"Catégorie:Noir & Blanc Nobles Victoires","Catégorie:Noir & Blanc Nobles Victoires",,
"Catégorie:Noir & Blanc Pouvoirs Émergents","Catégorie:Noir & Blanc Pouvoirs Émergents",,
"Catégorie:Noir & Blanc Tempête Plasma","Catégorie:Noir & Blanc Tempête Plasma",,
"Catégorie:Noir & Blanc Trésors Légendaires","Catégorie:Noir & Blanc Trésors Légendaires",,
"Catégorie:P25 : la musique (JCC)","Catégorie:P25 : la musique (JCC)",,
"Catégorie:PCG-P Promotional","Catégorie:PCG-P Promotional",,
Catégorie:Platine,Catégorie:Platine,,
"Catégorie:Platine Rivaux Émergeants","Catégorie:Platine Rivaux Émergeants",,
"Catégorie:Platine Vainqueurs Suprêmes","Catégorie:Platine Vainqueurs Suprêmes",,
"Catégorie:Platinum Arceus","Catégorie:Platinum Arceus",,
"Catégorie:PLAY Promotional","Catégorie:PLAY Promotional",,
"Catégorie:Poké Card Creator Pack","Catégorie:Poké Card Creator Pack",,
"Catégorie:Pokémon Futsal","Catégorie:Pokémon Futsal",,
"Catégorie:Pokémon GO (JCC)","Catégorie:Pokémon GO (JCC)",,
"Catégorie:Pokémon Rumble","Catégorie:Pokémon Rumble",,
"Catégorie:Pokémon Trading Card Game Classic","Catégorie:Pokémon Trading Card Game Classic",,
"Catégorie:POP Série 1","Catégorie:POP Série 1",,
"Catégorie:POP Série 2","Catégorie:POP Série 2",,
"Catégorie:POP Série 3","Catégorie:POP Série 3",,
"Catégorie:POP Série 4","Catégorie:POP Série 4",,
"Catégorie:POP Série 9","Catégorie:POP Série 9",,
"Catégorie:POP Series 5","Catégorie:POP Series 5",,
"Catégorie:POP Series 6","Catégorie:POP Series 6",,
"Catégorie:POP Series 7","Catégorie:POP Series 7",,
"Catégorie:POP Series 8","Catégorie:POP Series 8",,
"Catégorie:Promo ANA","Catégorie:Promo ANA",,
"Catégorie:Promo BW","Catégorie:Promo BW",,
"Catégorie:Promo DP","Catégorie:Promo DP",,
"Catégorie:Promo DPt-P Promotional","Catégorie:Promo DPt-P Promotional",,
"Catégorie:Promo Étoile Rouge","Catégorie:Promo Étoile Rouge",,
"Catégorie:Promo HGSS","Catégorie:Promo HGSS",,
"Catégorie:Promo ME","Catégorie:Promo ME",,
"Catégorie:Promo Nintendo","Catégorie:Promo Nintendo",,
"Catégorie:Promo SM","Catégorie:Promo SM",,
"Catégorie:Promo SV","Catégorie:Promo SV",,
"Catégorie:Promo SWSH","Catégorie:Promo SWSH",,
"Catégorie:Promo TPCi","Catégorie:Promo TPCi",,
"Catégorie:Promo Wizards","Catégorie:Promo Wizards",,
"Catégorie:Promo XY","Catégorie:Promo XY",,
"Catégorie:Sample Set","Catégorie:Sample Set",,
"Catégorie:Sea's Manaphy Movie Pack","Catégorie:Sea's Manaphy Movie Pack",,
"Catégorie:Set de Base","Catégorie:Set de Base",,
Catégorie:Skyridge,Catégorie:Skyridge,,
"Catégorie:Soleil et Lune","Catégorie:Soleil et Lune",,
"Catégorie:Soleil et Lune Alliance Infaillible","Catégorie:Soleil et Lune Alliance Infaillible",,
"Catégorie:Soleil et Lune Duo de Choc","Catégorie:Soleil et Lune Duo de Choc",,
"Catégorie:Soleil et Lune Éclipse Cosmique","Catégorie:Soleil et Lune Éclipse Cosmique",,
"Catégorie:Soleil et Lune Gardiens Ascendants","Catégorie:Soleil et Lune Gardiens Ascendants",,
"Catégorie:Soleil et Lune Harmonie des Esprits","Catégorie:Soleil et Lune Harmonie des Esprits",,
"Catégorie:Soleil et Lune Invasion Carmin","Catégorie:Soleil et Lune Invasion Carmin",,
"Catégorie:Soleil et Lune Kit du Dresseur: Lougaroc et Raichu d'Alola","Catégorie:Soleil et Lune Kit du Dresseur: Lougaroc et Raichu d'Alola",,
"Catégorie:Soleil et Lune Kit du Dresseur: Sablaireau d'Alola et Feunard d'Alola","Catégorie:Soleil et Lune Kit du Dresseur: Sablaireau d'Alola et Feunard d'Alola",,
"Catégorie:Soleil et Lune Lumière Interdite","Catégorie:Soleil et Lune Lumière Interdite",,
"Catégorie:Soleil et Lune Ombres Ardentes","Catégorie:Soleil et Lune Ombres Ardentes",,
"Catégorie:Soleil et Lune Tempête Céleste","Catégorie:Soleil et Lune Tempête Céleste",,
"Catégorie:Soleil et Lune Tonnerre Perdu","Catégorie:Soleil et Lune Tonnerre Perdu",,
"Catégorie:Soleil et Lune Ultra-Prisme","Catégorie:Soleil et Lune Ultra-Prisme",,
"Catégorie:Southern Islands","Catégorie:Southern Islands",,
"Catégorie:Team Rocket (JCC)","Catégorie:Team Rocket (JCC)",,
"Catégorie:Theater Limited VS Pack","Catégorie:Theater Limited VS Pack",,
"Catégorie:World Collection","Catégorie:World Collection",,
Catégorie:XY,Catégorie:XY,,
"Catégorie:XY Bienvenue à Kalos","Catégorie:XY Bienvenue à Kalos",,
"Catégorie:XY Ciel Rugissant","Catégorie:XY Ciel Rugissant",,
"Catégorie:XY Étincelles","Catégorie:XY Étincelles",,
"Catégorie:XY Évolutions","Catégorie:XY Évolutions",,
"Catégorie:XY Impact des Destins","Catégorie:XY Impact des Destins",,
"Catégorie:XY Impulsion TURBO","Catégorie:XY Impulsion TURBO",,
"Catégorie:XY Kit du Dresseur","Catégorie:XY Kit du Dresseur",,
"Catégorie:XY Kit du Dresseur: Latias & Latios","Catégorie:XY Kit du Dresseur: Latias & Latios",,
"Catégorie:XY Kit du Dresseur: Pikachu Catcheur et Suicune","Catégorie:XY Kit du Dresseur: Pikachu Catcheur et Suicune",,
"Catégorie:XY Kit du Dresseur: Scalproie et Grodoudou","Catégorie:XY Kit du Dresseur: Scalproie et Grodoudou",,
"Catégorie:XY Offensive Vapeur","Catégorie:XY Offensive Vapeur",,
"Catégorie:XY Origines Antiques","Catégorie:XY Origines Antiques",,
"Catégorie:XY Poings Furieux","Catégorie:XY Poings Furieux",,
"Catégorie:XY Primo-Choc","Catégorie:XY Primo-Choc",,
"Catégorie:XY Rupture TURBO","Catégorie:XY Rupture TURBO",,
"Catégorie:XY Vigueur Spectrale","Catégorie:XY Vigueur Spectrale",,
"Catégorie:XY はじめてセット","Catégorie:XY はじめてセット",,
"Catégorie:Zénith Suprême","Catégorie:Zénith Suprême",,
ADVプロモカード,ADVプロモカード,,
BWプロモカード,BWプロモカード,,"Noir & Blanc"
DPtプロモカード,DPtプロモカード,,Platine
DPプロモカード,DPプロモカード,,
Jプロモカード,Jプロモカード,,
Lプロモカード,Lプロモカード,,"HeartGold & SoulSilver"
PCGプロモカード,PCGプロモカード,,EX
PLAYプロモカード,PLAYプロモカード,,EX
PPPプロモカード,PPPプロモカード,,
Promo-A,Promo-A,Promo-A,A
Promo-B,Promo-B,Promo-B,B
Pプロモカード,Pプロモカード,,Wizards
Tプロモカード,Tプロモカード,,Wizards
XYプロモカード,XYプロモカード,,XY
サン＆ムーンプロモカード,サン＆ムーンプロモカード,,"Soleil et Lune"
ソード＆シールドプロモカード,ソード＆シールドプロモカード,,"Épée et Bouclier"
"ハイクラスパック VMAXクライマックス","ハイクラスパック VMAXクライマックス",,
"映画10周年記念 プレミアムシート","映画10周年記念 プレミアムシート",,
"映画公開記念 プレミアムシート","映画公開記念 プレミアムシート",,Platine
「次世代ワールドホビーフェア」特別限定拡張シート,「次世代ワールドホビーフェア」特別限定拡張シート,,Wizards
"XY はじめてセット","XY はじめてセット",,XY
"クチバシティジム マチス","クチバシティジム マチス",,Wizards
"タマムシシティジム エリカ","タマムシシティジム エリカ",,Wizards
"ニビシティジム タケシ","ニビシティジム タケシ",,Wizards
"ハナダシティジム カスミ","ハナダシティジム カスミ",,Wizards
ベストフォトコンテスト,ベストフォトコンテスト,,Wizards
"ポケモンカードになったワケ (JCC)",ポケモンカードになったワケ,,Wizards
ポケモンジャングル,ポケモンジャングル,,Wizards
ポケモン公式認定スペシャルWカード「ポケモンジム」,ポケモン公式認定スペシャルWカード「ポケモンジム」,,Wizards
ポケモン公式認定スペシャルWカード「ロケット団」,ポケモン公式認定スペシャルWカード「ロケット団」,,Wizards
リーダーズスタジアム,リーダーズスタジアム,,Wizards
ロケット団,ロケット団,,Wizards
公式認定スペシャル拡張シート,公式認定スペシャル拡張シート,,Wizards
化石の秘密,化石の秘密,,Wizards
"拡張シート 第1弾","拡張シート 第1弾",,Wizards
"拡張シート 第2弾","拡張シート 第2弾",,Wizards
"拡張シート 第3弾","拡張シート 第3弾",,Wizards
拡張パック,拡張パック,,Wizards
禁断の光,禁断の光,,"Soleil et Lune"
通信進化キャンペーン,通信進化キャンペーン,,Wizards
Catégorie:「次世代ワールドホビーフェア」特別限定拡張シート,Catégorie:「次世代ワールドホビーフェア」特別限定拡張シート,,
"Catégorie:クチバシティジム マチス","Catégorie:クチバシティジム マチス",,
"Catégorie:グレンタウンジム カツラ","Catégorie:グレンタウンジム カツラ",,
"Catégorie:タマムシシティジム エリカ","Catégorie:タマムシシティジム エリカ",,
"Catégorie:ニビシティジム タケシ","Catégorie:ニビシティジム タケシ",,
"Catégorie:ハナダシティジム カスミ","Catégorie:ハナダシティジム カスミ",,
Catégorie:ベストフォトコンテスト,Catégorie:ベストフォトコンテスト,,
Catégorie:ポケットモンスターカードゲーム公式認定スペシャルカード⟨リーダーズスタジアム⟩,Catégorie:ポケットモンスターカードゲーム公式認定スペシャルカード⟨リーダーズスタジアム⟩,,
Catégorie:ポケットモンスター公式認定スペシャルマチスエリカ「ポケモンジム」Wカード,Catégorie:ポケットモンスター公式認定スペシャルマチスエリカ「ポケモンジム」Wカード,,
"Catégorie:ポケモンカードになったワケ (JCC)","Catégorie:ポケモンカードになったワケ (JCC)",,
Catégorie:ポケモンジャングル,Catégorie:ポケモンジャングル,,
Catégorie:ポケモン公式認定スペシャルWカード（ジム拡張★2ポケモンジム）闇からの挑戦,Catégorie:ポケモン公式認定スペシャルWカード（ジム拡張★2ポケモンジム）闇からの挑戦,,
Catégorie:ポケモン公式認定スペシャルWカード「ポケモンジム」,Catégorie:ポケモン公式認定スペシャルWカード「ポケモンジム」,,
Catégorie:ポケモン公式認定スペシャルWカード「ロケット団」,Catégorie:ポケモン公式認定スペシャルWカード「ロケット団」,,
Catégorie:ポケモン公式認定スペシャルナツメ・カツラ「ポケモンジム」Wカード,Catégorie:ポケモン公式認定スペシャルナツメ・カツラ「ポケモンジム」Wカード,,
"Catégorie:ヤマブキシティジム ナツメ","Catégorie:ヤマブキシティジム ナツメ",,
Catégorie:リーダーズスタジアム,Catégorie:リーダーズスタジアム,,
Catégorie:ロケット団,Catégorie:ロケット団,,
Catégorie:公式認定スペシャル拡張シート,Catégorie:公式認定スペシャル拡張シート,,
Catégorie:化石の秘密,Catégorie:化石の秘密,,
"Catégorie:拡張シート 第1弾","Catégorie:拡張シート 第1弾",,
"Catégorie:拡張シート 第2弾","Catégorie:拡張シート 第2弾",,
"Catégorie:拡張シート 第3弾","Catégorie:拡張シート 第3弾",,
Catégorie:拡張パック,Catégorie:拡張パック,,
Catégorie:禁断の光,Catégorie:禁断の光,,
Catégorie:通信進化キャンペーン,Catégorie:通信進化キャンペーン,,
Catégorie:闇からの挑戦,Catégorie:闇からの挑戦,,
